Date,Revenue,Quantity,Orders,Customers
2009-12-01,54351.23,26098,119,91
2009-12-02,63172.58,31804,115,94
2009-12-03,73972.45,49221,124,106
2009-12-04,40582.32,21210,89,76
2009-12-05,9803.05,5119,30,26
2009-12-06,24423.02,11533,74,63
2009-12-07,44916.21,17955,101,77
2009-12-08,49476.23,23143,109,91
2009-12-09,40265.66,17840,88,74
2009-12-10,44233.96,23579,92,82
2009-12-11,39447.89,21268,70,58
2009-12-13,22176.46,12517,71,63
2009-12-14,73174.39,45332,90,69
2009-12-15,50262.29,27064,98,89
2009-12-16,52545.55,24891,98,81
2009-12-17,30638.25,15413,104,77
2009-12-18,42470.29,17402,68,55
2009-12-20,11382.54,6245,34,31
2009-12-21,16322.95,8771,41,30
2009-12-22,28017.28,14478,45,16
2009-12-23,10849.35,4578,22,12
2010-01-04,13445.800000000001,10646,29,22
2010-01-05,19114.34,11296,36,31
2010-01-06,8736.75,7459,14,13
2010-01-07,73039.89,40614,47,41
2010-01-08,30293.95,12695,45,42
2010-01-10,23597.85,13383,34,29
2010-01-11,37886.41,13980,56,37
2010-01-12,40786.98,21264,39,32
2010-01-13,22470.18,8835,30,25
2010-01-14,31550.9,13784,58,47
2010-01-15,13507.9,8419,46,37
2010-01-17,17393.2,9911,40,35
2010-01-18,21397.71,10333,40,32
2010-01-19,33233.881,15274,47,41
2010-01-20,19018.04,9477,37,31
2010-01-21,27359.23,72900,48,47
2010-01-22,36786.17,18573,45,39
2010-01-24,15930.84,8846,50,48
2010-01-25,22994.15,10038,57,44
2010-01-26,47166.99,22968,93,68
2010-01-27,28668.3,17837,56,47
2010-01-28,19816.87,11243,56,48
2010-01-29,28358.431,10162,49,37
2010-01-31,18600.35,10735,53,47
2010-02-01,19784.231,9251,66,49
2010-02-02,21513.02,11094,46,34
2010-02-03,21414.701,10285,49,41
2010-02-04,22500.71,12798,64,52
2010-02-05,21844.6,10342,40,35
2010-02-07,17026.83,11186,30,29
2010-02-08,17407.0,8616,60,45
2010-02-09,19618.82,10891,54,51
2010-02-10,9542.04,3761,31,24
2010-02-11,15080.27,9035,56,48
2010-02-12,11380.41,7652,32,27
2010-02-14,17785.58,10895,46,39
2010-02-15,42469.531,96425,45,35
2010-02-16,31144.43,16711,61,51
2010-02-17,26512.72,25014,49,42
2010-02-18,35750.14,19853,63,58
2010-02-19,27225.01,12611,58,30
2010-02-21,11394.731,5555,37,34
2010-02-22,26353.58,13427,48,41
2010-02-23,22651.170000000002,11873,47,42
2010-02-24,33065.091,22454,63,47
2010-02-25,46615.67,26312,67,55
2010-02-26,16682.951,7419,36,26
2010-02-28,16741.49,8419,53,50
2010-03-01,25782.41,21448,58,49
2010-03-02,26384.14,11897,55,48
2010-03-03,34058.37,20381,63,53
2010-03-04,32298.39,18546,74,67
2010-03-05,27536.73,18260,81,55
2010-03-07,19805.55,10927,58,46
2010-03-08,37254.31,15620,76,66
2010-03-09,21999.6,12353,57,51
2010-03-10,27453.03,18013,61,47
2010-03-11,24495.36,14179,48,39
2010-03-12,21689.34,11029,36,30
2010-03-14,8947.9,4927,24,22
2010-03-15,27587.701,15166,57,41
2010-03-16,23955.88,12845,45,42
2010-03-17,30719.54,78859,48,40
2010-03-18,41086.47,23659,86,70
2010-03-19,45641.61,13368,62,47
2010-03-21,20522.53,12281,56,51
2010-03-22,25441.66,12821,56,49
2010-03-23,56400.48,54452,71,58
2010-03-24,30118.4,14409,73,59
2010-03-25,38826.8,17094,85,67
2010-03-26,32523.46,20924,62,48
2010-03-28,22402.0,14517,59,56
2010-03-29,59864.07,25151,85,41
2010-03-30,38506.0,19258,70,54
2010-03-31,29613.53,13642,75,59
2010-04-01,30768.0,17291,79,72
2010-04-06,19394.87,13022,55,46
2010-04-07,34542.31,23528,61,46
2010-04-08,47554.84,26803,86,70
2010-04-09,16949.62,9120,51,33
2010-04-11,19732.05,11585,42,40
2010-04-12,27122.851,12839,46,37
2010-04-13,25966.670000000002,14446,52,43
2010-04-14,27064.35,16329,45,39
2010-04-15,29559.63,10769,74,57
2010-04-16,19508.45,14865,42,37
2010-04-18,23934.46,12961,54,43
2010-04-19,45228.87,19363,74,44
2010-04-20,29083.36,13464,68,53
2010-04-21,29380.61,13264,66,51
2010-04-22,43480.08,21576,79,67
2010-04-23,16582.71,10212,57,43
2010-04-25,16574.53,8380,46,44
2010-04-26,36086.35,19555,99,66
2010-04-27,46110.74,23403,79,63
2010-04-28,32452.69,19380,73,62
2010-04-29,32709.821,17039,84,71
2010-04-30,29087.39,17511,50,36
2010-05-02,12342.17,6296,40,39
2010-05-04,22701.79,11192,52,43
2010-05-05,28100.920000000002,15625,82,57
2010-05-06,54582.2,31089,84,68
2010-05-07,35744.13,23171,66,48
2010-05-09,22852.06,11825,62,52
2010-05-10,32905.93,15713,77,65
2010-05-11,28722.09,18150,65,59
2010-05-12,31357.44,21669,65,51
2010-05-13,41041.6,26817,66,58
2010-05-14,18873.96,14348,49,36
2010-05-16,18370.09,11028,44,38
2010-05-17,25513.64,13811,49,42
2010-05-18,28911.53,22477,64,51
2010-05-19,17696.18,9644,61,56
2010-05-20,25679.04,15590,67,57
2010-05-21,27275.22,10076,52,39
2010-05-23,25127.13,13889,49,41
2010-05-24,35787.18,32771,71,61
2010-05-25,22364.37,15014,61,52
2010-05-26,38397.29,18921,96,64
2010-05-27,30802.74,17905,88,77
2010-05-28,21823.33,12627,58,43
2010-05-30,10733.47,6220,32,30
2010-06-01,15634.28,8287,47,33
2010-06-02,16172.54,11808,46,38
2010-06-03,29509.13,17585,67,52
2010-06-04,21251.2,8167,51,29
2010-06-06,25457.15,14079,68,62
2010-06-07,49454.92,29457,103,81
2010-06-08,54216.99,25848,81,61
2010-06-09,38298.77,25410,68,59
2010-06-10,18308.72,9683,66,56
2010-06-11,37676.65,21405,86,65
2010-06-13,21430.49,11120,70,61
2010-06-14,24304.27,16206,57,48
2010-06-15,30506.86,19496,52,41
2010-06-16,31259.329999999998,18986,81,65
2010-06-17,58048.51,13238,78,61
2010-06-18,18789.03,9608,50,44
2010-06-20,9078.58,4487,26,26
2010-06-21,21029.62,12061,44,40
2010-06-22,14732.58,6978,43,36
2010-06-23,27848.739999999998,16258,68,54
2010-06-24,26678.78,11306,73,42
2010-06-25,17713.37,7997,45,37
2010-06-27,18706.92,10851,55,52
2010-06-28,53860.729999999996,34536,70,64
